avtor,naslov,url
Bob Dylan,Like A Rolling Stone,http://www.youtube.com/watch?v=dxLMr784l0Q
The Rolling Stones,(I Can't Get No) Satisfaction,http://www.youtube.com/watch?v=nrIPxlFzDi0
John Lennon,Imagine,http://www.youtube.com/watch?v=DVg2EJvvlF8
Marvin Gaye,What's Going On,http://www.youtube.com/watch?v=H-kA3UtBj4M
Aretha Franklin,Respect,http://www.youtube.com/watch?v=6FOUqQt3Kg0
The Beach Boys,Good Vibrations,http://www.youtube.com/watch?v=Eab_beh07HU
Chuck Berry,Johnny B. Goode,http://www.youtube.com/watch?v=ZFo8-JqzSCM
The Beatles,Hey Jude,http://www.youtube.com/watch?v=A_MjCqQoLLA
Nirvana,Smells Like Teen Spirit,http://www.youtube.com/watch?v=hTWKbfoikeg
Ray Charles,What'd I Say,http://www.youtube.com/watch?v=xTIP_FOdq24
The Who,My Generation,http://www.youtube.com/watch?v=qN5zw04WxCc
Sam Cooke,A Change Is Gonna Come,http://www.youtube.com/watch?v=wEBlaMOmKV4
The Beatles,Yesterday,http://www.youtube.com/watch?v=Ho2e0zvGEWE
Bob Dylan,Blowin' In The Wind,http://www.youtube.com/watch?v=3l4nVByCL44
The Clash,London Calling,http://www.youtube.com/watch?v=EfK-WX2pa8c
The Beatles,I Want To Hold Your Hand,http://www.youtube.com/watch?v=jenWdylTtzs
The Jimi Hendrix Experience,Purple Haze,http://www.youtube.com/watch?v=fjwWjx7Cw8I
Chuck Berry,Maybellene,http://www.youtube.com/watch?v=75RiHJGfyUE
Elvis Presley,Hound Dog,http://www.youtube.com/watch?v=lzQ8GDBA8Is
The Beatles,Let It Be,http://www.youtube.com/watch?v=ih-8K1a_SsA
Bruce Springsteen,Born To Run,http://www.youtube.com/watch?v=IxuThNgl3YA
The Ronettes,Be My Baby,http://www.youtube.com/watch?v=2g_FD_sYazk
The Beatles,In My Life,http://www.youtube.com/watch?v=-eCh3y5VROM
The Impressions,People Get Ready,http://www.youtube.com/watch?v=l04yM7-BWbg
The Beach Boys,God Only Knows,http://www.youtube.com/watch?v=EkPy18xW1j8
The Beatles,A Day In The Life,http://www.youtube.com/watch?v=usNsCeOV4GM
Derek And The Dominos,Layla,http://www.youtube.com/watch?v=uSquiIVLhrQ
Otis Redding,(Sittin' On) The Dock Of The Bay,http://www.youtube.com/watch?v=rTVjnBo96Ug
The Beatles,Help!,http://www.youtube.com/watch?v=yWP6Qki8mWc
Johnny Cash,I Walk The Line,http://www.youtube.com/watch?v=Lq0fUa0vW_E
Led Zeppelin,Stairway To Heaven,http://www.youtube.com/watch?v=9Q7Vr3yQYWQ
The Rolling Stones,Sympathy For The Devil,http://www.youtube.com/watch?v=vBecM3CQVD8
Ike and Tina Turner,River Deep - Mountain High,http://www.youtube.com/watch?v=uj0wPrN_Y_4
The Righteous Brothers,You've Lost That Lovin' Feelin',http://www.youtube.com/watch?v=uOnYY9Mw2Fg
The Doors,Light My Fire,http://www.youtube.com/watch?v=deB_u-to-IE
U2,One,http://www.youtube.com/watch?v=BgZ4ammawyI
Bob Marley and The Wailers,"No Woman, No Cry",http://www.youtube.com/watch?v=ZijDUpvLK9c
The Rolling Stones,Gimme Shelter,http://www.youtube.com/watch?v=R3rnxQBizoU
Buddy Holly,That'll Be The Day,http://www.youtube.com/watch?v=eq9FCBatl3A
Martha And The Vandellas,Dancing In The Street,http://www.youtube.com/watch?v=CdvITn5cAVc
The Band,The Weight,http://www.youtube.com/watch?v=sjCw3-YTffo
The Kinks,Waterloo Sunset,http://www.youtube.com/watch?v=N_MqfF0WBsU
Little Richard,Tutti Frutti,http://www.youtube.com/watch?v=F13JNjpNW6c
Ray Charles,Georgia On My Mind,http://www.youtube.com/watch?v=fRgWBN8yt_E
Elvis Presley,Heartbreak Hotel,http://www.youtube.com/watch?v=e9BLw4W5KU8
David Bowie,Heroes,http://www.youtube.com/watch?v=Tgcc5V9Hu3g
Simon And Garfunkel,Bridge Over Troubled Water,http://www.youtube.com/watch?v=H_a46WJ1viA
Jimi Hendrix,All Along The Watchtower,http://www.youtube.com/watch?v=TLV4_xaYynY
Eagles,Hotel California,http://www.youtube.com/watch?v=G0ATsOXSPBw
Smokey Robinson and The Miracles,The Tracks Of My Tears,http://www.youtube.com/watch?v=d03Oo8jHoTA
Prince,When Doves Cry,http://www.youtube.com/watch?v=8xhi0VGBIlM
Sex Pistols,Anarchy In The U.K.,http://www.youtube.com/watch?v=qbmWs6Jf5dc
Percy Sledge,When A Man Loves A Woman,http://www.youtube.com/watch?v=7lp7FtJXp7k
The Kingsmen,Louie Louie,http://www.youtube.com/watch?v=1RZJ4ESU52U
Little Richard,Long Tall Sally,http://www.youtube.com/watch?v=eFFgbc5Vcbw
Procol Harum,A Whiter Shade Of Pale,http://www.youtube.com/watch?v=Mb3iPP-tHdA
Michael Jackson,Billie Jean,http://www.youtube.com/watch?v=Zi_XLOBDo_Y
Bob Dylan,The Times They Are A-Changin',http://www.youtube.com/watch?v=e7qQ6_RV4VQ
Al Green,Let's Stay Together,http://www.youtube.com/watch?v=COiIC3A0ROM
Jerry Lee Lewis,Whole Lotta Shakin' Goin On,http://www.youtube.com/watch?v=RFxRTLmtsbE
Bo Diddley,Bo Diddley,http://www.youtube.com/watch?v=3jrIK7YB0tE
Buffalo Springfield,For What It's Worth,http://www.youtube.com/watch?v=DIoKr9VDg3A
The Beatles,She Loves You,http://www.youtube.com/watch?v=C7fBaWYT_3E
Cream,Sunshine Of Your Love,http://www.youtube.com/watch?v=zt51rITH3EA
Bob Marley and The Wailers,Redemption Song,http://www.youtube.com/watch?v=CB4pQi8bObM
Elvis Presley,Jailhouse Rock,http://www.youtube.com/watch?v=gj0Rz-uP4Mk
Bob Dylan,Tangled Up In Blue,http://www.youtube.com/watch?v=YwSZvHqf9qM
Roy Orbison,Crying,http://www.youtube.com/watch?v=tNdBLBleO90
Dionne Warwick,Walk On By,http://www.youtube.com/watch?v=ijhL9Y7skQs
The Beach Boys,California Girls,http://www.youtube.com/watch?v=fmIsdMWzdaE
James Brown,Papa's Got A Brand New Bag Part 1,http://www.youtube.com/watch?v=rnDEr9R0snU
Eddie Cochran,Summertime Blues,http://www.youtube.com/watch?v=fZZD8ckwLJA
Stevie Wonder,Superstition,http://www.youtube.com/watch?v=0CFuCYNx-1g
Led Zeppelin,Whole Lotta Love,http://www.youtube.com/watch?v=Mln0RciE2o0
The Beatles,Strawberry Fields Forever,http://www.youtube.com/watch?v=8UQK-UcRezE
Elvis Presley,Mystery Train,http://www.youtube.com/watch?v=Q_eE0NPArEY
James Brown,I Got You (I Feel Good),http://www.youtube.com/watch?v=PJqKkZ1VVMk
The Byrds,Mr. Tambourine Man,http://www.youtube.com/watch?v=NyOzGPbn2tg
Marvin Gaye,I Heard It Through The Grapevine,http://www.youtube.com/watch?v=hajBdDM2qdg
Fats Domino,Blueberry Hill,http://www.youtube.com/watch?v=bQQCPrwKzdo
The Kinks,You Really Got Me,http://www.youtube.com/watch?v=fTTsY-oz6Go
The Beatles,Norwegian Wood (This Bird Has Flown),http://www.youtube.com/watch?v=rl2xQAeCvOc
The Police,Every Breath You Take,http://www.youtube.com/watch?v=OMOGaugKpzs
Patsy Cline,Crazy,http://www.youtube.com/watch?v=6QEDb3xzdec
Bruce Springsteen,Thunder Road,http://www.youtube.com/watch?v=jte9PzIu9T4
Johnny Cash,Ring Of Fire,http://www.youtube.com/watch?v=QfCOJLRk2D4
The Temptations,My Girl,http://www.youtube.com/watch?v=6IUG-9jZD-g
The Mamas and The Papas,California Dreamin',http://www.youtube.com/watch?v=N-aK6JnyFmk
The Five Satins,In The Still Of The Nite,http://www.youtube.com/watch?v=MRb1-SAAIzs
Elvis Presley,Suspicious Minds,http://www.youtube.com/watch?v=RxOBOhRECoo
Ramones,Blitzkrieg Bop,http://www.youtube.com/watch?v=iymtpePP8I8
U2,I Still Haven't Found What I'm Looking For,http://www.youtube.com/watch?v=e3-5YC_oHjE
Little Richard,Good Golly Miss Molly,http://www.youtube.com/watch?v=lQ6akiGRcL8
Carl Perkins,Blue Suede Shoes,http://www.youtube.com/watch?v=DRNyvO4QouY
Jerry Lee Lewis,Great Balls Of Fire,http://www.youtube.com/watch?v=ZD8YPY8RBQc
Chuck Berry,Roll Over Beethoven,http://www.youtube.com/watch?v=WXQLyzeysGU
Al Green,Love And Happiness,http://www.youtube.com/watch?v=rqqAnjY2Rmo
Creedence Clearwater Revival,Fortunate Son,http://www.youtube.com/watch?v=ec0XKhAHR5I
The Rolling Stones,You Can't Always Get What You Want,http://www.youtube.com/watch?v=j7leQB_Oe_k
Jimi Hendrix,Voodoo Child (Slight Return),http://www.youtube.com/watch?v=IZBlqcbpmxY
Gene Vincent,Be-Bop-A-Lula,http://www.youtube.com/watch?v=vDU9FP5_B2M
Donna Summer,Hot Stuff,http://www.youtube.com/watch?v=1IdEhvuNxV8
Stevie Wonder,Living For The City,http://www.youtube.com/watch?v=rc0XEw4m-3w
Simon And Garfunkel,The Boxer,http://www.youtube.com/watch?v=l3LFML_pxlY
Bob Dylan,Mr. Tambourine Man,http://www.youtube.com/watch?v=PYF8Y47qZQY
The Crickets,Not Fade Away,http://www.youtube.com/watch?v=m7iPbqNla6Q
Prince,Little Red Corvette,http://www.youtube.com/watch?v=5JBz1ELxy6o
Van Morrison,Brown Eyed Girl,http://www.youtube.com/watch?v=kqXSBe-qMGo
Otis Redding,I've Been Loving You Too Long,http://www.youtube.com/watch?v=qZ6OrrkeVFo
Hank Williams,I'm So Lonesome I Could Cry,http://www.youtube.com/watch?v=4WXYjm74WFI
Elvis Presley,That's All Right,http://www.youtube.com/watch?v=wf_TRHww9vc
The Drifters,Up On The Roof,http://www.youtube.com/watch?v=puM1k-S86nE
The Crystals,Da Doo Ron Ron,http://www.youtube.com/watch?v=v-qqi7-Q19k
Sam Cooke,You Send Me,http://www.youtube.com/watch?v=mrwfB4aAZZc
The Rolling Stones,Honky Tonk Women,http://www.youtube.com/watch?v=A6M77oHD110
Al Green,Take Me To The River,http://www.youtube.com/watch?v=vGD8aQ2GKr0
The Isley Brothers,Shout,http://www.youtube.com/watch?v=qFCePEPdaU4
Fleetwood Mac,Go Your Own Way,http://www.youtube.com/watch?v=6ul-cZyuYq4
The Jackson 5,I Want You Back,http://www.youtube.com/watch?v=s3Q80mk7bxE
Ben E. King,Stand By Me,http://www.youtube.com/watch?v=hwZNL7QVJjE
The Animals,House Of The Rising Sun,http://www.youtube.com/watch?v=0sB3Fjw3Uvc
James Brown,It's A Man's Man's Man's World,http://www.youtube.com/watch?v=H77fRz1rybs
The Rolling Stones,Jumpin' Jack Flash,http://www.youtube.com/watch?v=eQSGw0hMd_I
The Shirelles,Will You Love Me Tomorrow?,http://www.youtube.com/watch?v=9AucXslg6HU
Big Joe Turner,"Shake, Rattle And Roll",http://www.youtube.com/watch?v=YhELpSeeipg
David Bowie,Changes,http://www.youtube.com/watch?v=pl3vxEudif8
Chuck Berry,Rock And Roll Music,http://www.youtube.com/watch?v=0XSaKQlBZuE
Steppenwolf,Born To Be Wild,http://www.youtube.com/watch?v=rMbATaj7Il8
Rod Stewart,Maggie May,http://www.youtube.com/watch?v=m2CQ0FvAZuw
U2,With Or Without You,http://www.youtube.com/watch?v=XmSdTa9kaiQ
Bo Diddley,Who Do You Love,http://www.youtube.com/watch?v=MAGoqMZRLB4
The Who,Won't Get Fooled Again,http://www.youtube.com/watch?v=SHhrZgojY1Q
Wilson Pickett,In The Midnight Hour,http://www.youtube.com/watch?v=FGVGFfj7POA
The Beatles,While My Guitar Gently Weeps,http://www.youtube.com/watch?v=VJDJs9dumZI
Elton John,Your Song,http://www.youtube.com/watch?v=13GD78Bmo8s
The Beatles,Eleanor Rigby,http://www.youtube.com/watch?v=HuS5NuXRb5Y
Sly and The Family Stone,Family Affair,http://www.youtube.com/watch?v=YST-JQ1bREA
The Beatles,I Saw Her Standing There,http://www.youtube.com/watch?v=2xbig-xfCIQ
Led Zeppelin,Kashmir,http://www.youtube.com/watch?v=ZDwotNLyz10
The Everly Brothers,All I Have To Do Is Dream,http://www.youtube.com/watch?v=tbU3zdAgiX8
James Brown,"Please, Please, Please",http://www.youtube.com/watch?v=nMqAfg8pRRg
Prince,Purple Rain,http://www.youtube.com/watch?v=vHxmctgKFL8
Ramones,I Wanna Be Sedated,http://www.youtube.com/watch?v=ZLlLtSG7xe4
Sly and The Family Stone,Everyday People,http://www.youtube.com/watch?v=YUUhDoCx8zc
The B-52's,Rock Lobster,http://www.youtube.com/watch?v=ofkzvM7Skxg
Iggy Pop,Lust For Life,http://www.youtube.com/watch?v=jQvUBf5l7Vw
Janis Joplin,Me And Bobby McGee,http://www.youtube.com/watch?v=WXV_QjenbDw
The Everly Brothers,Cathy's Clown,http://www.youtube.com/watch?v=PXvKAWiU_cQ
The Byrds,Eight Miles High,http://www.youtube.com/watch?v=J74ttSR8lEg
The Penguins,Earth Angel (Will You Be Mine),http://www.youtube.com/watch?v=P01YX_2oGz8
Jimi Hendrix,Foxy Lady,http://www.youtube.com/watch?v=_PVjcIO4MT4
The Beatles,A Hard Day's Night,http://www.youtube.com/watch?v=fG2evigIJIc
Buddy Holly,Rave On,http://www.youtube.com/watch?v=0IUV-QxwlRM
Creedence Clearwater Revival,Proud Mary,http://www.youtube.com/watch?v=XfyEpmQM7bw
Simon And Garfunkel,The Sound Of Silence,http://www.youtube.com/watch?v=4zLfCnGVeL4
The Flamingos,I Only Have Eyes For You,http://www.youtube.com/watch?v=FvzNeh4Mq1o
Bill Haley And His Comets,(We're Gonna) Rock Around The Clock,http://www.youtube.com/watch?v=ZgdufzXvjqw
The Velvet Underground,I'm Waiting For The Man,http://www.youtube.com/watch?v=_LEXJfcIQfI
Public Enemy,Bring The Noise,http://www.youtube.com/watch?v=l_Jeyif7bB4
Ray Charles,I Can't Stop Loving You,http://www.youtube.com/watch?v=r_7iRVtxui8
cudna so, pota gospodova,http://www.youtube.com/watch?v=p-8teV-0EjM
Queen,Bohemian Rhapsody,http://www.youtube.com/watch?v=fJ9rUzIMcZQ
Johnny Cash,Folsom Prison Blues,http://www.youtube.com/watch?v=_Xyp63MaSBs
Tracy Chapman,Fast Car,http://www.youtube.com/watch?v=uTIB10eQnA0
Eminem,Lose Yourself,http://www.youtube.com/watch?v=_Yhyp-_hX2s
Marvin Gaye,Let's Get It On,http://www.youtube.com/watch?v=x6QZn9xiuOE
The Temptations,Papa Was A Rollin' Stone,http://www.youtube.com/watch?v=Jzly6jrepRU
R.E.M.,Losing My Religion,http://www.youtube.com/watch?v=xwtdhWltSIg
Joni Mitchell,"Both Sides, Now",http://www.youtube.com/watch?v=aCnf46boC3I
ABBA,Dancing Queen,http://www.youtube.com/watch?v=xFrGuyw1V8s
Aerosmith,Dream On,http://www.youtube.com/watch?v=hHRNSeuvzlM
Sex Pistols,God Save The Queen,http://www.youtube.com/watch?v=yqrAPOZxgzU
The Rolling Stones,"Paint It, Black",http://www.youtube.com/watch?v=O4irXQhgMqg
The Bobby Fuller Four,I Fought The Law,http://www.youtube.com/watch?v=OgtQj8O92eI
The Beach Boys,Don't Worry Baby,http://www.youtube.com/watch?v=lW0YGC68qP4
Tom Petty,Free Fallin',http://www.youtube.com/watch?v=1lWJXDG2i0A
Big Star,September Gurls,http://www.youtube.com/watch?v=BNKSs1J38EA
Joy Division,Love Will Tear Us Apart,http://www.youtube.com/watch?v=zuuObGsB0No
OutKast,Hey Ya!,http://www.youtube.com/watch?v=PWgvGjAhvIw
Booker T. and The MG's,Green Onions,http://www.youtube.com/watch?v=WB5VD_Z5Zvg
The Drifters,Save The Last Dance For Me,http://www.youtube.com/watch?v=n-XQ26KePUQ
B.B. King,The Thrill Is Gone,http://www.youtube.com/watch?v=4fk2prKnYnI
The Beatles,Please Please Me,http://www.youtube.com/watch?v=tOcMkI7KVS4
Bob Dylan,Desolation Row,http://www.youtube.com/watch?v=35gheud5xBo
Aretha Franklin,I Never Loved A Man (The Way I Love You),http://www.youtube.com/watch?v=ZULpxWcUZyE
AC/DC,Back In Black,http://www.youtube.com/watch?v=pAgnJDJN4VA
Creedence Clearwater Revival,Who'll Stop The Rain,http://www.youtube.com/watch?v=lIPan-rEQJA
Bee Gees,Stayin' Alive,http://www.youtube.com/watch?v=oQwNN-0AgWc
Bob Dylan,Knockin' On Heaven's Door,http://www.youtube.com/watch?v=rnKbImRPhTE
Lynyrd Skynyrd,Free Bird,http://www.youtube.com/watch?v=np0solnL1XY
Glen Campbell,Wichita Lineman,http://www.youtube.com/watch?v=RKeqXyY-9xA
The Drifters,There Goes My Baby,http://www.youtube.com/watch?v=i3HXy9mGPpI
Buddy Holly,Peggy Sue,http://www.youtube.com/watch?v=BMCCHVYV1BA
The Chantels,Maybe,http://www.youtube.com/watch?v=IePTH1PWzAs
Guns N' Roses,Sweet Child O' Mine,http://www.youtube.com/watch?v=1w7OgIMMRc4
Elvis Presley,Don't Be Cruel,http://www.youtube.com/watch?v=ViMF510wqWA
The Jimi Hendrix Experience,Hey Joe,http://www.youtube.com/watch?v=rXwMrBb2x1Q
Parliament,Flash Light,http://www.youtube.com/watch?v=T0ZGNGBNIL8
Beck,Loser,http://www.youtube.com/watch?v=YgSPaXgAdzE
New Order,Bizarre Love Triangle,http://www.youtube.com/watch?v=7uEBuqkkQRk
The Beatles,Come Together,http://www.youtube.com/watch?v=RMdD8MwUQpw
Bob Dylan,Positively 4th Street,http://www.youtube.com/watch?v=WOP6R3JvNHg
Otis Redding,Try A Little Tenderness,http://www.youtube.com/watch?v=UnPMoAb4y8U
Bill Withers,Lean On Me,http://www.youtube.com/watch?v=KEXQkrllGbA
Four Tops,Reach Out I'll Be There,http://www.youtube.com/watch?v=KnDm3qr1Knk
The Everly Brothers,Bye Bye Love,http://www.youtube.com/watch?v=LRyrWN-fftE
Them,Gloria,http://www.youtube.com/watch?v=Q9X-cgihXqQ
The Beach Boys,In My Room,http://www.youtube.com/watch?v=l71pbhqnvNM
Question Mark And The Mysterians,96 Tears,http://www.youtube.com/watch?v=R7uC5m-IRns
The Beach Boys,"Caroline, No",http://www.youtube.com/watch?v=7w7ZeSIC6K0
Prince,1999,http://www.youtube.com/watch?v=EHYIrIKbf1M
Hank Williams,Your Cheatin' Heart,http://www.youtube.com/watch?v=Jg2oR91_r5I
Neil Young,Rockin' In The Free World,http://www.youtube.com/watch?v=411cTWwxFu8
The Chords,Sh-Boom,http://www.youtube.com/watch?v=SBgQezOF8kY
The Lovin' Spoonful,Do You Believe In Magic,http://www.youtube.com/watch?v=mDYNuD4CwlI
Dolly Parton,Jolene,http://www.youtube.com/watch?v=qGEubdH8m0s
John Lee Hooker,Boom Boom,http://www.youtube.com/watch?v=X70VMrH3yBg
Howlin' Wolf,Spoonful,http://www.youtube.com/watch?v=3LFjHo7Cdrw
cudna so, pota gospodova,http://www.youtube.com/watch?v=p-8teV-0EjM
Lou Reed,Walk On The Wild Side,http://www.youtube.com/watch?v=0KaWSOlASWc
Roy Orbison,"Oh, Pretty Woman",http://www.youtube.com/watch?v=lnRS3A_iIYg
Sly and The Family Stone,Dance To The Music,http://www.youtube.com/watch?v=Jn2PNlhvy8E
Chic,Good Times,http://www.youtube.com/watch?v=eKl6EZShaaw
Muddy Waters,Hoochie Coochie Man,http://www.youtube.com/watch?v=U5QKpsVzndc
Van Morrison,Moondance,http://www.youtube.com/watch?v=6lFxGBB4UGU
James Taylor,Fire And Rain,http://www.youtube.com/watch?v=JOIo4lEpsPY
The Clash,Should I Stay Or Should I Go,http://www.youtube.com/watch?v=BN1WwnEDWAM
Muddy Waters,Mannish Boy,http://www.youtube.com/watch?v=bSfqNEvykv0
Bob Dylan,Just Like A Woman,http://www.youtube.com/watch?v=ymmRnKaTEr8
Marvin Gaye,Sexual Healing,http://www.youtube.com/watch?v=rjlSiASsUIs
Roy Orbison,Only The Lonely (Know The Way I Feel),http://www.youtube.com/watch?v=hIeEmuIncGQ
The Animals,We Gotta Get Out Of This Place,http://www.youtube.com/watch?v=wJVpihgwE18
The Byrds,I'll Feel A Whole Lot Better,http://www.youtube.com/watch?v=to-RVV_3anw
Ray Charles,I Got A Woman,http://www.youtube.com/watch?v=CnI_LuCJ4Ek
Buddy Holly,Everyday,http://www.youtube.com/watch?v=GMezwtB1oCU
Afrika Bambaataa,Planet Rock,http://www.youtube.com/watch?v=hh1AypBaIEk
Patsy Cline,I Fall To Pieces,http://www.youtube.com/watch?v=iuZTk1hdpMs
Dion,The Wanderer,http://www.youtube.com/watch?v=IkoidwsLXCg
Dusty Springfield,Son Of A Preacher Man,http://www.youtube.com/watch?v=DjydOI4MEIw
Sly and The Family Stone,Stand!,http://www.youtube.com/watch?v=1K_6ieXv7bE
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",http://www.youtube.com/watch?v=nA7ZyJqq5WI
The B-52's,Love Shack,http://www.youtube.com/watch?v=9SOryJvTAGs
The Spencer Davis Group,Gimme Some Lovin',http://www.youtube.com/watch?v=ko3m0NBbq1o
The Band,The Night They Drove Old Dixie Down,http://www.youtube.com/watch?v=jREUrbGGrgM
Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,http://www.youtube.com/watch?v=mzDVaKRApcg
Sly and The Family Stone,Hot Fun In The Summertime,http://www.youtube.com/watch?v=_NVVe1DkVsQ
The Sugarhill Gang,Rapper's Delight,http://www.youtube.com/watch?v=rKTUAESacQM
Aretha Franklin,Chain Of Fools,http://www.youtube.com/watch?v=gGAiW5dOnKo
Black Sabbath,Paranoid,http://www.youtube.com/watch?v=cNdB5-A9O7g
