avtor,naslov,url
Bobby Darin,Mack The Knife,http://www.youtube.com/watch?v=SEllHMWkXEU
The Drifters,Money Honey,http://www.youtube.com/watch?v=OHgFs4Oxuc4
Mott The Hoople,All The Young Dudes,http://www.youtube.com/watch?v=VkqQj8Z_aVY
AC/DC,Highway To Hell,http://www.youtube.com/watch?v=gEPmA3USJdI
Blondie,Heart Of Glass,http://www.youtube.com/watch?v=WGU_4-5RaxU
Radiohead,Paranoid Android,http://www.youtube.com/watch?v=sPLEbAVjiLA
The Troggs,Wild Thing,http://www.youtube.com/watch?v=YlLspwQaKqQ
The Who,I Can See For Miles,http://www.youtube.com/watch?v=Q0iqg2UanEc
Jeff Buckley,Hallelujah,http://www.youtube.com/watch?v=y8AWFf7EAc4
The Dells,"Oh, What A Night",http://www.youtube.com/watch?v=Z1ozQT8yQXA
Stevie Wonder,Higher Ground,http://www.youtube.com/watch?v=4wZ3ZG_Wams
Smokey Robinson and The Miracles,Ooo Baby Baby,http://www.youtube.com/watch?v=xLOB6B6vMTY
The Crystals,He's A Rebel,http://www.youtube.com/watch?v=G_SXJ18EkNw
Randy Newman,Sail Away,http://www.youtube.com/watch?v=A5hFQFPFcHo
Archie Bell and The Drells,"Tighten Up, Pt. 1",http://www.youtube.com/watch?v=Y2G0-as8988
The Ronettes,Walking In The Rain,http://www.youtube.com/watch?v=tBBys5TLxCI
New York Dolls,Personality Crisis,http://www.youtube.com/watch?v=E1I4A5yazr4
U2,Sunday Bloody Sunday,http://www.youtube.com/watch?v=EM4vblG6BVQ
The Modern Lovers,Roadrunner,http://www.youtube.com/watch?v=6ZWoJ8_75Mo
George Jones,He Stopped Loving Her Today,http://www.youtube.com/watch?v=ubKUP8c0FHE
The Beach Boys,Sloop John B,http://www.youtube.com/watch?v=nSAoEf1Ib58
Chuck Berry,Sweet Little Sixteen,http://www.youtube.com/watch?v=QRLDopWVAvw
The Beatles,Something,http://www.youtube.com/watch?v=X5IVp25InsA
Jefferson Airplane,Somebody To Love,http://www.youtube.com/watch?v=5Jj3wZVc7nw
Bruce Springsteen,Born In The U.S.A.,http://www.youtube.com/watch?v=EPhWR4d3FJQ
The Staple Singers,I'll Take You There,http://www.youtube.com/watch?v=uY3vgBzgYn4
David Bowie,Ziggy Stardust,http://www.youtube.com/watch?v=eIXmFL9ckGE
The Cure,Pictures Of You,http://www.youtube.com/watch?v=UmFFTkjs-O0
The Dixie Cups,Chapel Of Love,http://www.youtube.com/watch?v=rTq7w8P6_2I
Bill Withers,Ain't No Sunshine,http://www.youtube.com/watch?v=tIdIqbv7SPo
Stevie Wonder,You Are The Sunshine Of My Life,http://www.youtube.com/watch?v=3wZ_b_uUAdQ
Joni Mitchell,Help Me,http://www.youtube.com/watch?v=XOEE-kR-Txg
Blondie,Call Me,http://www.youtube.com/watch?v=StKVS0eI85I
Elvis Costello and The Attractions,"(What's So Funny 'Bout) Peace, Love And Understanding",http://www.youtube.com/watch?v=Ssd3U_zicAI
Howlin' Wolf,Smokestack Lightning,http://www.youtube.com/watch?v=9Ri7TcukAJ8
Pavement,Summer Babe,http://www.youtube.com/watch?v=cMjlhIWxfFI
Run-D.M.C.,Walk This Way,http://www.youtube.com/watch?v=4B_UYYPb-Gk
Barrett Strong,Money (That's What I Want),http://www.youtube.com/watch?v=t5KU34DrrPI
The Beatles,Can't Buy Me Love,http://www.youtube.com/watch?v=srwxJUXPHvE
Eminem,"Stan"">Stan</a></b> by <a href=""/wiki/Eminem"" title=""Eminem",NOY
The Zombies,She's Not There,http://www.youtube.com/watch?v=it68QbUWVPM
The Clash,Train In Vain,http://www.youtube.com/watch?v=q3Yl4ehzX-o
Al Green,Tired Of Being Alone,http://www.youtube.com/watch?v=Tdw7kxD8eUc
Led Zeppelin,Black Dog,http://www.youtube.com/watch?v=SiPl3rQZ6f0
The Rolling Stones,Street Fighting Man,http://www.youtube.com/watch?v=muJCXvvdlBU
Bob Marley and The Wailers,"Get Up, Stand Up",http://www.youtube.com/watch?v=UubfH-1S43k
Neil Young,Heart Of Gold,http://www.youtube.com/watch?v=pO8kTRv4l3o
Blondie,One Way Or Another,http://www.youtube.com/watch?v=1VFuHj9_Tgw
Prince,Sign 'O' The Times,http://www.youtube.com/watch?v=xdBv8sOBZRk
Madonna,Like A Prayer,http://www.youtube.com/watch?v=BMZtrsuv508
Rod Stewart,Da Ya Think I'm Sexy?,http://www.youtube.com/watch?v=Hphwfq1wLJs
Willie Nelson,Blue Eyes Crying In The Rain,http://www.youtube.com/watch?v=JA644rSZX1A
The Rolling Stones,Ruby Tuesday,http://www.youtube.com/watch?v=a00_tPLcE_g
The Beatles,With A Little Help From My Friends,http://www.youtube.com/watch?v=SkyqRP8S93Y
James Brown,"Say It Loud (I'm Black And I'm Proud), Pt.1",http://www.youtube.com/watch?v=j0A_N-wmiMo
The Jam,That's Entertainment,http://www.youtube.com/watch?v=m-H0uIH5HHQ
Frankie Lymon and The Teenagers,Why Do Fools Fall In Love,http://www.youtube.com/watch?v=2sAHiR0rkJg
Jackie Wilson,Lonely Teardrops,http://www.youtube.com/watch?v=jgyl_LBdcxo
Tina Turner,What's Love Got To Do With It,http://www.youtube.com/watch?v=oGpFcHTxjZs
Black Sabbath,Iron Man,http://www.youtube.com/watch?v=Uctu1e353os
The Everly Brothers,Wake Up Little Susie,http://www.youtube.com/watch?v=LojqhHnmyvc
Roy Orbison,In Dreams,http://www.youtube.com/watch?v=TPqZs7Vl_xg
Screamin' Jay Hawkins,I Put A Spell On You,http://www.youtube.com/watch?v=PwXai-sgM-s
Pink Floyd,Comfortably Numb,http://www.youtube.com/watch?v=_FrOQC-zEog
The Animals,Don't Let Me Be Misunderstood,http://www.youtube.com/watch?v=vstNm5xzuKM
Pink Floyd,Wish You Were Here,http://www.youtube.com/watch?v=IXdNnw99-Ic
Jimmy Cliff,Many Rivers To Cross,http://www.youtube.com/watch?v=SF3IktTk_pQ
Elvis Costello,Alison,http://www.youtube.com/watch?v=C9GlC9GyF4Y
Alice Cooper,School's Out,http://www.youtube.com/watch?v=2Oo8QzDHimQ
Led Zeppelin,Heartbreaker,http://www.youtube.com/watch?v=_xvTmpc4eX4
Neil Young and Crazy Horse,Cortez The Killer,http://www.youtube.com/watch?v=4gfjoAyqfLs
Public Enemy,Fight The Power,http://www.youtube.com/watch?v=8PaoLy7PHwk
Patti Smith,Dancing Barefoot,http://www.youtube.com/watch?v=gcbuG2w0Kzo
The Supremes,Baby Love,http://www.youtube.com/watch?v=swXvbFvN5MI
The Rascals,Good Lovin',http://www.youtube.com/watch?v=Oy625sZAHN8
James Brown,Get Up (I Feel Like Being A) Sex Machine,http://www.youtube.com/watch?v=huZFThnetjo
Jerry Butler,For Your Precious Love,http://www.youtube.com/watch?v=kFYqz1yv0WM
The Doors,The End,http://www.youtube.com/watch?v=JSUIQgEVDM4
"Earth, Wind and Fire",That's The Way Of The World,http://www.youtube.com/watch?v=5vIIZydXDqg
Queen,We Will Rock You,http://www.youtube.com/watch?v=-tJYN-eG1zk
Bonnie Raitt,I Can't Make You Love Me,http://www.youtube.com/watch?v=nW9Cu6GYqxo
Bob Dylan,Subterranean Homesick Blues,http://www.youtube.com/watch?v=MGxjIBEZvx0
Norman Greenbaum,Spirit In The Sky,http://www.youtube.com/watch?v=AZQxH_8raCI
The Rolling Stones,Wild Horses,http://www.youtube.com/watch?v=SQTHB4jM-KQ
The Velvet Underground,Sweet Jane,http://www.youtube.com/watch?v=nkumhBVPGdg
Aerosmith,Walk This Way,http://www.youtube.com/watch?v=pL4uESRCnv8
Michael Jackson,Beat It,http://www.youtube.com/watch?v=oRdxUFDoQe0
Paul McCartney,Maybe I'm Amazed,http://www.youtube.com/watch?v=cm2YyVZBL8U
The Supremes,You Keep Me Hangin' On,http://www.youtube.com/watch?v=t3bjMtqpGBw
The Who,Baba O'Riley,http://www.youtube.com/watch?v=x2KRpRMSu4g
Jimmy Cliff,The Harder They Come,http://www.youtube.com/watch?v=7Znh0OM9jiA
Dion,Runaround Sue,http://www.youtube.com/watch?v=ID-jsd0HGZs
LaVern Baker,Jim Dandy,http://www.youtube.com/watch?v=dMWHi-SPEf0
Big Brother And The Holding Company,Piece Of My Heart,http://www.youtube.com/watch?v=qA78eLqHLkM
Ritchie Valens,La Bamba,http://www.youtube.com/watch?v=Jp6j5HJ-Cok
2Pac,California Love,http://www.youtube.com/watch?v=5wBTdfAkqGU
Elton John,Candle In The Wind,http://www.youtube.com/watch?v=A8gO0Z818j4
The Isley Brothers,Who's That Lady,http://www.youtube.com/watch?v=q1DDgNCLD84
Ben E. King,Spanish Harlem,http://www.youtube.com/watch?v=OGd6CdtOqEE
Little Eva,The Loco-Motion,http://www.youtube.com/watch?v=lNNW0SPkChI
The Platters,The Great Pretender,http://www.youtube.com/watch?v=FyM8NVl4yBY
Elvis Presley,All Shook Up,http://www.youtube.com/watch?v=3rQEbQJx5Bo
Eric Clapton,Tears In Heaven,http://www.youtube.com/watch?v=JxPj3GAYYZ0
Elvis Costello,Watching The Detectives,http://www.youtube.com/watch?v=k1Qnt5bx1OI
Creedence Clearwater Revival,Bad Moon Rising,http://www.youtube.com/watch?v=5BmEGm-mraE
Eurythmics,Sweet Dreams (Are Made Of This),http://www.youtube.com/watch?v=qeMFqkcPYcg
Jimi Hendrix,Little Wing,http://www.youtube.com/watch?v=U5Vki76x-EU
Martha And The Vandellas,Nowhere To Run,http://www.youtube.com/watch?v=ABbc-O_3_Ac
Muddy Waters,I've Got My Mojo Working,http://www.youtube.com/watch?v=O8Zy54rs95k
Roberta Flack,Killing Me Softly With His Song,http://www.youtube.com/watch?v=kgl-VRdXr7I
The Clash,Complete Control,http://www.youtube.com/watch?v=JeTw_p_WglY
The Beatles,All You Need Is Love,http://www.youtube.com/watch?v=sWEEaH3QZoI
The Box Tops,The Letter,http://www.youtube.com/watch?v=BQaUs5J2wdI
Bob Dylan,Highway 61 Revisited,http://www.youtube.com/watch?v=3Xz7WfVYxok
The Righteous Brothers,Unchained Melody,http://www.youtube.com/watch?v=zrK5u5W8afc
Bee Gees,How Deep Is Your Love,http://www.youtube.com/watch?v=XpqqjU7u5Yc
Cream,White Room,http://www.youtube.com/watch?v=pkae0-TgrRU
Depeche Mode,Personal Jesus,http://www.youtube.com/watch?v=u1xrNaTO1bI
Bo Diddley,I'm A Man,http://www.youtube.com/watch?v=SaC5ZKRjLUM
The Jimi Hendrix Experience,The Wind Cries Mary,http://www.youtube.com/watch?v=ATDEtzAcTg0
The Who,I Can't Explain,http://www.youtube.com/watch?v=h3h--K5928M
Television,Marquee Moon,http://www.youtube.com/watch?v=jlbunmCbTBA
Sam Cooke,Wonderful World,http://www.youtube.com/watch?v=R4GLAKEjU4w
Chuck Berry,Brown Eyed Handsome Man,http://www.youtube.com/watch?v=ComyNCcYPvg
Pink Floyd,Another Brick In The Wall Part 2,http://www.youtube.com/watch?v=HrxX9TBj2zY
Radiohead,Fake Plastic Trees,http://www.youtube.com/watch?v=n5h0qHwNrHk
Ray Charles,Hit The Road Jack,http://www.youtube.com/watch?v=0rEsVp5tiDQ
U2,Pride (In The Name Of Love),http://www.youtube.com/watch?v=LHcP4MWABGY
R.E.M.,Radio Free Europe,http://www.youtube.com/watch?v=XXUkddrnsXQ
Elton John,Goodbye Yellow Brick Road,http://www.youtube.com/watch?v=DDOL7iY8kfo
Aaron Neville,Tell It Like It Is,http://www.youtube.com/watch?v=Rv_UW8sHsWE
The Verve,Bitter Sweet Symphony,http://www.youtube.com/watch?v=1lyu1KKwC74
The Allman Brothers Band,Whipping Post,http://www.youtube.com/watch?v=JCtdKWWfZG8
The Beatles,Ticket To Ride,http://www.youtube.com/watch?v=70-WSgZn1MQ
"Crosby, Stills, Nash and Young",Ohio,http://www.youtube.com/watch?v=68g76j9VBvM
Eric B. and Rakim,I Know You Got Soul,http://www.youtube.com/watch?v=fvAAETHrXv0
Elton John,Tiny Dancer,http://www.youtube.com/watch?v=hoskDZRLOCs
The Police,Roxanne,http://www.youtube.com/watch?v=3T1c7GkzRQQ
The Temptations,Just My Imagination (Running Away With Me),http://www.youtube.com/watch?v=jFYFC6bi_6A
Four Tops,Baby I Need Your Loving,http://www.youtube.com/watch?v=joqjBAJx4ZA
Freda Payne,Band Of Gold,http://www.youtube.com/watch?v=daxiMb0rITA
Five Stairsteps,O-o-h Child,http://www.youtube.com/watch?v=yrotsEzgEpg
The Lovin' Spoonful,Summer In The City,http://www.youtube.com/watch?v=U5bUmx-hk-c
Elvis Presley,Can't Help Falling In Love,http://www.youtube.com/watch?v=vGJTaP6anOU
The Shangri-Las,Remember (Walking In The Sand),http://www.youtube.com/watch?v=V5YxtweUxrA
Big Star,Thirteen,http://www.youtube.com/watch?v=pte3Jg-2Ax4
cudna so, pota gospodova,http://www.youtube.com/watch?v=p-8teV-0EjM
Lynyrd Skynyrd,Sweet Home Alabama,http://www.youtube.com/watch?v=ye5BuYf8q4o
Metallica,Enter Sandman,http://www.youtube.com/watch?v=CD-E-LDc384
Paul Revere And The Raiders,Kicks,http://www.youtube.com/watch?v=IP8G4clUJBY
The Shirelles,Tonight's The Night,http://www.youtube.com/watch?v=n0-W7Uiic5o
Sly and The Family Stone,Thank You (Falettinme Be Mice Elf Agin),http://www.youtube.com/watch?v=N5BP2KlPD4U
Eddie Cochran,C'mon Everybody,http://www.youtube.com/watch?v=ncbdW9bI27o
Bob Dylan,Visions Of Johanna,http://www.youtube.com/watch?v=UG8Hi-fpyLI
Carpenters,We've Only Just Begun,http://www.youtube.com/watch?v=__VQX2Xn7tI
R. Kelly,I Believe I Can Fly,http://www.youtube.com/watch?v=GIQn8pab8Vc
Nirvana,In Bloom,http://www.youtube.com/watch?v=PbgKEjNBHqM
Aerosmith,Sweet Emotion,http://www.youtube.com/watch?v=82cJgPXU-ik
Cream,Crossroads,http://www.youtube.com/watch?v=PE9HvSdcaL4
Pixies,Monkey Gone To Heaven,http://www.youtube.com/watch?v=XycBLF6kWuY
Donna Summer,I Feel Love,http://www.youtube.com/watch?v=B2qI6UDD2uQ
Bobbie Gentry,Ode To Billie Joe,http://www.youtube.com/watch?v=-_E3UIeZUCs
Little Richard,The Girl Can't Help It,http://www.youtube.com/watch?v=qTxZqAmaVeA
The Coasters,Young Blood,http://www.youtube.com/watch?v=e-Exe4YUJyI
Four Tops,"I Can't Help Myself (Sugar Pie, Honey Bunch)",http://www.youtube.com/watch?v=s3bksUSPB4c
Don Henley,The Boys Of Summer,http://www.youtube.com/watch?v=TsFhp0zCrhk
N.W.A,Fuck Tha Police,http://www.youtube.com/watch?v=9jOqOlETcRU
"Crosby, Stills and Nash:Suite", Judy Blue Eyes,http://www.youtube.com/watch?v=JMbuJXQCIvo
Dr. Dre,Nuthin' But A 'G' Thang,http://www.youtube.com/watch?v=l4E4XC7qOfk
The Isley Brothers,It's Your Thing,http://www.youtube.com/watch?v=MD-9eOWsp8o
Billy Joel,Piano Man,http://www.youtube.com/watch?v=gxEPV4kolz0
The Kinks,Lola,http://www.youtube.com/watch?v=LemG0cvc4oU
Elvis Presley,Blue Suede Shoes,http://www.youtube.com/watch?v=SuqF_LC_U7Y
The Rolling Stones,Tumbling Dice,http://www.youtube.com/watch?v=6U8JlcB_BzA
The Smiths,"William, It Was Really Nothing",http://www.youtube.com/watch?v=YvAcPiztnNY
Deep Purple,Smoke On The Water,http://www.youtube.com/watch?v=zUwEIt9ez7M
U2,New Year's Day,http://www.youtube.com/watch?v=vdLuk2Agamk
Mitch Ryder,Devil With A Blue Dress On/Good Golly Miss Molly,http://www.youtube.com/watch?v=RAClxmXqX0M
Solomon Burke,Everybody Needs Somebody To Love,http://www.youtube.com/watch?v=7OKAlBC-XWQ
The Clash,(White Man) In Hammersmith Palais,http://www.youtube.com/watch?v=IkM5lrrnq_Y
Fats Domino,Ain't It A Shame,http://www.youtube.com/watch?v=I6JZW7zMDfY
Gladys Knight and The Pips,Midnight Train To Georgia,http://www.youtube.com/watch?v=meaVNHch96o
Led Zeppelin,Ramble On,http://www.youtube.com/watch?v=a3HemKGDavw
Wilson Pickett,Mustang Sally,http://www.youtube.com/watch?v=CwB40qTfuvI
The Rolling Stones,Beast Of Burden,http://www.youtube.com/watch?v=-tRdBsnX4N4
Love,Alone Again Or,http://www.youtube.com/watch?v=cNcXFy8QTC4
Elvis Presley,Love Me Tender,http://www.youtube.com/watch?v=-Y-bd3aDMGA
The Stooges,I Wanna Be Your Dog,http://www.youtube.com/watch?v=BJIqnXTqg8I
John Mellencamp,Pink Houses,http://www.youtube.com/watch?v=qOfkpu6749w
Salt-N-Pepa,Push It,http://www.youtube.com/watch?v=vCadcBR95oU
The Del-Vikings,Come Go With Me,http://www.youtube.com/watch?v=P1eU_lDQaVM
Little Richard,Keep A Knockin',http://www.youtube.com/watch?v=PcJrExewkYA
Bob Marley and The Wailers,I Shot The Sheriff,http://www.youtube.com/watch?v=qsYzKtnvHfs
Sonny and Cher,I Got You Babe,http://www.youtube.com/watch?v=80QHRTQ3Kmw
Nirvana,Come As You Are,http://www.youtube.com/watch?v=vabnZ9-ex7o
Toots and The Maytals,Pressure Drop,http://www.youtube.com/watch?v=CRSwjhYmAY4
The Shangri-Las,Leader Of The Pack,http://www.youtube.com/watch?v=Q8UKf65NOzM
The Velvet Underground,Heroin,http://www.youtube.com/watch?v=6xcwt9mSbYE
The Beatles,Penny Lane,http://www.youtube.com/watch?v=S-rB0pHI9fU
Glen Campbell,By The Time I Get To Phoenix,http://www.youtube.com/watch?v=mUg5p3BncuQ
Chubby Checker,The Twist,http://www.youtube.com/watch?v=eh8eb_ACLl8
Sam Cooke,Cupid,http://www.youtube.com/watch?v=S28tILqie1o
Guns N' Roses,Paradise City,http://www.youtube.com/watch?v=Rbm6GXllBiw
George Harrison,My Sweet Lord,http://www.youtube.com/watch?v=0kNGnIKUdMI
Nirvana,All Apologies,http://www.youtube.com/watch?v=aWmkuH1k7uA
Lloyd Price,Stagger Lee,http://www.youtube.com/watch?v=FCPutYaGFlE
Ramones,Sheena Is A Punk Rocker,http://www.youtube.com/watch?v=vneIVy2BIIw
Sam and Dave,Soul Man,http://www.youtube.com/watch?v=ZVx2i6jGzf8
Muddy Waters,Rollin' Stone,http://www.youtube.com/watch?v=sVmEMv8rcCA
The Chiffons,One Fine Day,http://www.youtube.com/watch?v=KvyOqKhKWQ4
Prince,Kiss,http://www.youtube.com/watch?v=Ll4U0G6mZSQ
The Staple Singers,Respect Yourself,http://www.youtube.com/watch?v=-1pYKdqD1ls
The Beatles,Rain,http://www.youtube.com/watch?v=yN7iSuh8NuE
Four Tops,Standing In The Shadows Of Love,http://www.youtube.com/watch?v=7oSYhNVaHwY
Cheap Trick,Surrender,http://www.youtube.com/watch?v=1sAm5UCJ9vA
Del Shannon,Runaway,http://www.youtube.com/watch?v=0S13mP_pfEc
Guns N' Roses,Welcome To The Jungle,http://www.youtube.com/watch?v=o1tj2zJ2Wvg
Iggy and The Stooges,Search And Destroy,http://www.youtube.com/watch?v=EDNzQ3CXspU
Carole King,It's Too Late,http://www.youtube.com/watch?v=BDm1xD_Kwyc
Joni Mitchell,Free Man In Paris,http://www.youtube.com/watch?v=KiKrk2Jcx8U
Willie Nelson,On The Road Again,http://www.youtube.com/watch?v=1TD_pSeNelU
The Supremes,Where Did Our Love Go,http://www.youtube.com/watch?v=jlfQeN1MHao
Aretha Franklin,"Do Right Woman, Do Right Man",http://www.youtube.com/watch?v=TE5j9wVPeLQ
Funkadelic,One Nation Under A Groove,http://www.youtube.com/watch?v=3WOZwwRH6XU
Beastie Boys,Sabotage,http://www.youtube.com/watch?v=z5rRZdiu1UE
Foreigner,I Want To Know What Love Is,http://www.youtube.com/watch?v=raNGeq3_DtM
Rick James,Super Freak,http://www.youtube.com/watch?v=QYHxGBH6o4M
Jefferson Airplane,White Rabbit,http://www.youtube.com/watch?v=WANNqr-vcx0
Labelle,Lady Marmalade,http://www.youtube.com/watch?v=t4LWIP7SAjY
Van Morrison,Into The Mystic,http://www.youtube.com/watch?v=O0DJ8hWgNes
David Bowie,Young Americans,http://www.youtube.com/watch?v=ScVi_L817ec
Alice Cooper,I'm Eighteen,http://www.youtube.com/watch?v=OSxuXsyanCI
The Cure,Just Like Heaven,http://www.youtube.com/watch?v=n3nPiBai66M
Joan Jett And The Blackhearts,I Love Rock 'N Roll,http://www.youtube.com/watch?v=xL5spALs-eA
Paul Simon,Graceland,http://www.youtube.com/watch?v=rDXzLeFUkpc
The Smiths,How Soon Is Now?,http://www.youtube.com/watch?v=hnpILIIo9ek
The Drifters,Under The Boardwalk,http://www.youtube.com/watch?v=EPEqRMVnZNU
Fleetwood Mac,Rhiannon,http://www.youtube.com/watch?v=U_aYibUx1B8
Gloria Gaynor,I Will Survive,http://www.youtube.com/watch?v=Tth-8wA3PdY
The Rolling Stones,Brown Sugar,http://www.youtube.com/watch?v=59K2kF6o9Tk
Dusty Springfield,You Don't Have To Say You Love Me,http://www.youtube.com/watch?v=QR4vE9xL3yk
Jackson Browne,Running On Empty,http://www.youtube.com/watch?v=-_FRV2Qne0g
The Crystals,Then He Kissed Me,http://www.youtube.com/watch?v=cE_jOD2Fxvs
Eagles,Desperado,http://www.youtube.com/watch?v=iDNtqy0zjJA
The Miracles,Shop Around,http://www.youtube.com/watch?v=AQGXa3FiXKM
The Rolling Stones,Miss You,http://www.youtube.com/watch?v=KuRxXRuAz-I
Weezer,Buddy Holly,http://www.youtube.com/watch?v=kemivUKb4f4
Brook Benton,Rainy Night In Georgia,http://www.youtube.com/watch?v=bDRbF80NKDU
Thin Lizzy,The Boys Are Back In Town,http://www.youtube.com/watch?v=hQo1HIcSVtg
Boston,More Than A Feeling,http://www.youtube.com/watch?v=SSR6ZzjDZ94
